OrderID,Product Name,,Category,Price,Quantity,OrderDate
50,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,Office Supplies,38.22,6,2013-03-14
51,Avery 485,,Office Supplies,75.18,6,2013-03-14
52,Longer-Life Soft White Bulbs,,Furniture,6.16,2,2012-05-31
53,"Global Leather Task Chair, Black",,Furniture,89.99,1,2012-05-31
54,Advantus Push Pins,,Office Supplies,15.26,7,2012-05-31
55,AT&T CL83451 4-Handset Telephone,,Technology,1029.95,5,2012-05-28
56,Home/Office Personal File Carts,,Office Supplies,208.56,6,2011-03-01
57,Xerox 232,,Office Supplies,32.4,5,2013-05-12
58,Novimex Turbo Task Chair,,Furniture,319.41,5,2013-11-17
59,"Array Parchment Paper, Assorted Colors",,Office Supplies,14.56,2,2013-11-08
60,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,Technology,30,2,2011-08-05
61,Plastic Binding Combs,,Office Supplies,48.48,4,2011-08-05
62,Prang Dustless Chalk Sticks,,Office Supplies,1.68,1,2011-08-05
63,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",,Technology,13.98,2,2011-08-26
64,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",,Office Supplies,25.82,6,2012-10-31
65,Xerox 1943,,Office Supplies,146.73,3,2011-08-03
66,Luxo Economy Swing Arm Lamp,,Furniture,79.76,4,2011-08-03
67,"Global Value Mid-Back Manager's Chair, Gray",,Furniture,213.12,5,2014-12-10
68,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",,Office Supplies,1113.02,8,2013-10-29
69,netTALK DUO VoIP Telephone Service,,Technology,167.97,4,2013-10-29
70,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",,Office Supplies,75.88,2,2014-11-13
71,Avery Binding System Hidden Tab Executive Style Index Sets,,Office Supplies,4.62,1,2013-12-11
72,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,Office Supplies,19.05,3,2013-09-12
73,High-Back Leather Manager's Chair,,Furniture,831.94,8,2013-09-12
74,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",,Furniture,97.04,2,2012-11-10
75,Safco Industrial Wire Shelving System,,Office Supplies,72.78,1,2014-12-29
76,Economy Binders,,Office Supplies,1.25,3,2012-07-30
77,"6"" Cubicle Wall Clock, Black",,Furniture,9.71,3,2012-07-30
78,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,Office Supplies,27.24,3,2012-07-30
79,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,Furniture,19.3,5,2014-09-17
80,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,Office Supplies,208.16,1,2014-09-17
81,Avery Heavy-Duty EZD  Binder With Locking Rings,,Office Supplies,16.74,3,2012-11-02
82,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",,Office Supplies,14.9,5,2012-09-26
83,"Sortfiler Multipurpose Personal File Organizer, Black",,Office Supplies,21.39,1,2012-09-26
84,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,,Office Supplies,200.98,7,2012-09-26
85,Safco Industrial Wire Shelving,,Office Supplies,230.38,3,2011-12-26
86,Novimex Swivel Fabric Task Chair,,Furniture,301.96,2,2011-12-26
87,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,Technology,19.99,1,2011-12-26
88,Avery 511,,Office Supplies,6.16,2,2011-12-26
89,Eldon Portable Mobile Manager,,Office Supplies,158.37,7,2011-12-26
90,Turquoise Lead Holder with Pocket Clip,,Office Supplies,20.1,3,2013-09-13
91,Panasonic Kx-TS550,,Technology,73.58,2,2013-09-13
92,Xerox 1995,,Office Supplies,6.48,1,2013-09-13
93,Xerox 1999,,Office Supplies,12.96,2,2013-09-13
94,"Seth Thomas 13 1/2"" Wall Clock",,Furniture,53.34,3,2011-09-19
95,Ibico Standard Transparent Covers,,Office Supplies,32.96,2,2013-04-24
96,Flexible Leather- Look Classic Collection Ring Binder,,Office Supplies,5.68,1,2013-04-24
97,9-3/4 Diameter Round Wall Clock,,Furniture,96.53,7,2012-09-01
98,Trimflex Flexible Post Binders,,Office Supplies,51.31,3,2012-09-01
99,Fellowes Basic Home/Office Series Surge Protectors,,Office Supplies,77.88,6,2012-09-01
100,Avery Personal Creations Heavyweight Cards,,Office Supplies,64.62,7,2011-07-12
101,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,,Technology,95.98,3,2011-07-12
102,Avery Hidden Tab Dividers for Binding Systems,,Office Supplies,1.79,3,2012-06-22
103,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,Office Supplies,23.92,4,2014-06-16
104,Logitech K350 2.4Ghz Wireless Keyboard,,Technology,238.9,6,2011-09-24
105,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",,Furniture,102.36,3,2011-07-23
106,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",,Office Supplies,36.88,3,2011-07-23
107,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,Technology,74.11,8,2011-07-23
108,Speck Products Candyshell Flip Case,,Technology,27.99,1,2011-07-23
109,Newell Chalk Holder,,Office Supplies,3.3,1,2013-10-29
110,Logitech Gaming G510s - Keyboard,,Technology,339.96,5,2013-10-29
111,Magnifier Swing Arm Lamp,,Furniture,41.96,2,2011-09-21
112,"Hunt PowerHouse Electric Pencil Sharpener, Blue",,Office Supplies,75.96,2,2011-09-21
113,"Avery Durable Plastic 1"" Binders",,Office Supplies,27.24,6,2014-07-01
114,"OIC Colored Binder Clips, Assorted Sizes",,Office Supplies,40.1,14,2014-12-09
115,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",,Office Supplies,4.72,2,2014-12-09
116,Xerox 1921,,Office Supplies,23.98,3,2014-12-09
117,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",,Office Supplies,130.46,6,2014-12-09
118,Hon Racetrack Conference Tables,,Furniture,787.53,3,2014-12-09
119,GBC DocuBind 300 Electric Binding Machine,,Office Supplies,157.79,1,2014-12-09
120,Artistic Insta-Plaque,,Furniture,47.04,3,2014-12-09
121,DXL Angle-View Binders with Locking Rings by Samsill,,Office Supplies,30.84,4,2014-12-09
122,"Companion Letter/Legal File, Black",,Office Supplies,226.56,6,2014-12-09
123,Globe Weis Peel & Seel First Class Envelopes,,Office Supplies,115.02,9,2014-11-04
124,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,,Technology,68.04,7,2014-11-04
125,Global Deluxe High-Back Manager's Chair,,Furniture,600.56,3,2014-06-25
126,Bevis 44 x 96 Conference Tables,,Furniture,617.7,6,2013-04-15
127,"Avery Durable Slant Ring Binders, No Labels",,Office Supplies,2.39,2,2014-03-05
128,"Trav-L-File Heavy-Duty Shuttle II, Black",,Office Supplies,243.99,7,2014-03-05
129,"Global Task Chair, Black",,Furniture,81.42,2,2011-06-22
130,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,,Furniture,238.56,3,2011-02-13
131,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,,Technology,59.97,5,2012-12-15
132,Xerox 1916,,Office Supplies,78.3,2,2012-12-15
133,Staples,,Office Supplies,21.46,9,2012-12-15
134,Xerox 195,,Office Supplies,20.04,3,2013-04-23
135,Xerox 1880,,Office Supplies,35.44,1,2013-04-23
136,"Sanford Colorific Colored Pencils, 12/Box",,Office Supplies,11.52,4,2013-04-23
137,Ideal Clamps,,Office Supplies,4.02,2,2013-04-23
138,GBC Wire Binding Strips,,Office Supplies,76.18,3,2013-04-23
139,Fiskars Softgrip Scissors,,Office Supplies,65.88,6,2011-11-09
140,Longer-Life Soft White Bulbs,,Furniture,43.12,14,2011-11-09
141,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,Furniture,82.8,2,2011-11-09
142,Newell 343,,Office Supplies,8.82,3,2011-11-09
143,Convenience Packs of Business Envelopes,,Office Supplies,10.86,3,2011-11-09
144,Xerox 1911,,Office Supplies,143.7,3,2011-11-09
145,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,,Office Supplies,839.43,3,2013-07-13
146,Safco Industrial Wire Shelving,,Office Supplies,671.93,7,2011-10-06
147,"Seth Thomas 14"" Putty-Colored Wall Clock",,Furniture,93.89,4,2014-06-11
148,Plantronics Cordless Phone Headset with In-line Volume - M214C,,Technology,384.45,11,2014-06-11
149,Anker Astro 15000mAh USB Portable Charger,,Technology,149.97,3,2014-06-11
150,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,Furniture,1951.84,8,2013-05-10
151,GBC Prestige Therm-A-Bind Covers,,Office Supplies,171.55,5,2013-07-26
152,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,,Office Supplies,157.92,5,2013-07-26
153,Jabra BIZ 2300 Duo QD Duo Corded Headset,,Technology,203.18,2,2013-07-26
154,Southworth 25% Cotton Antique Laid Paper & Envelopes,,Office Supplies,58.38,7,2013-07-26
155,Xerox 1883,,Office Supplies,105.52,4,2013-05-31
156,"Tenex Personal Project File with Scoop Front Design, Black",,Office Supplies,80.88,6,2013-05-31
157,Newell 311,,Office Supplies,6.63,3,2013-05-31
158,Global Deluxe High-Back Manager's Chair,,Furniture,457.57,2,2013-05-31
159,Avery 519,,Office Supplies,14.62,2,2013-05-31
160,Avaya 5420 Digital phone,,Technology,944.93,7,2014-12-22
161,Xerox 1920,,Office Supplies,5.98,1,2014-12-22
162,Lenovo 17-Key USB Numeric Keypad,,Technology,54.38,2,2014-01-23
163,Staple envelope,,Office Supplies,28.4,5,2014-01-23
164,Wilson Jones International Size A4 Ring Binders,,Office Supplies,27.68,2,2014-01-23
165,BIC Brite Liner Highlighters,,Office Supplies,9.94,3,2014-01-23
166,Lexmark MX611dhe Monochrome Laser Printer,,Technology,8159.95,8,2013-05-22
167,Space Solutions HD Industrial Steel Shelving.,,Office Supplies,275.93,3,2013-05-22
168,SAFCO Arco Folding Chair,,Furniture,1740.06,9,2012-11-07
169,Sanford Liquid Accent Highlighters,,Office Supplies,32.06,6,2014-09-08
170,Kensington 7 Outlet MasterPiece Power Center,,Office Supplies,177.98,5,2013-07-11
171,JBL Micro Wireless Portable Bluetooth Speaker,,Technology,143.98,3,2013-07-15
172,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",,Office Supplies,20.94,3,2013-04-16
173,Xerox 1913,,Office Supplies,110.96,2,2014-06-30
174,"Global Value Steno Chair, Gray",,Furniture,340.14,7,2013-06-11
175,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,,Office Supplies,52.45,2,2013-06-11
176,Avery 51,,Office Supplies,20.16,4,2013-06-11
177,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,Office Supplies,97.26,4,2014-11-21
178,"Padded Folding Chairs, Black, 4/Carton",,Furniture,396.8,7,2014-11-21
179,Acme Rosewood Handle Letter Opener,,Office Supplies,15.88,5,2012-12-07
180,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",,Office Supplies,3.28,1,2012-12-07
181,"Tenex File Box, Personal Filing Tote with Lid, Black",,Office Supplies,24.82,2,2014-12-08
182,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,Technology,408.74,7,2014-10-02
183,AT&T TR1909W,,Technology,503.96,4,2014-10-02
184,Nokia Lumia 521 (T-Mobile),,Technology,149.95,5,2014-10-02
185,HP Standard 104 key PS/2 Keyboard,,Technology,29,2,2014-10-02
186,Avery Poly Binder Pockets,,Office Supplies,7.16,2,2013-11-04
187,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,,Technology,176.8,8,2012-09-18
188,"Personal Filing Tote with Lid, Black/Gray",,Office Supplies,37.22,3,2012-09-18
189,Southworth 25% Cotton Antique Laid Paper & Envelopes,,Office Supplies,20.02,3,2012-09-18
190,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",,Furniture,899.14,4,2012-09-10
191,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,,Technology,71.76,6,2014-12-02
192,Xerox 205,,Office Supplies,51.84,8,2014-12-02
193,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,Furniture,626.35,3,2014-12-02
194,4009 Highlighters by Sanford,,Office Supplies,19.9,5,2014-12-02
195,Poly String Tie Envelopes,,Office Supplies,14.28,7,2014-12-02
196,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,Office Supplies,7.41,2,2013-03-21
197,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",,Office Supplies,6.05,3,2013-03-21
198,Decoflex Hanging Personal Folder File,,Office Supplies,46.26,3,2013-03-21
199,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,Office Supplies,2.95,2,2013-03-21
200,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",,Office Supplies,16.06,3,2011-08-08
201,Southworth 25% Cotton Linen-Finish Paper & Envelopes,,Office Supplies,21.74,3,2011-08-08
202,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,,Furniture,218.75,2,2011-08-08
203,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",,Office Supplies,2.6,1,2011-08-08
204,Eureka Sanitaire  Commercial Upright,,Office Supplies,66.28,2,2014-05-20
205,"Eldon 200 Class Desk Accessories, Burgundy",,Furniture,35.17,7,2014-12-18
206,Nortel Business Series Terminal T7208 Digital phone,,Technology,444.77,4,2014-12-18
207,"Tennsco Lockers, Gray",,Office Supplies,83.92,4,2013-12-12
208,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,,Technology,131.98,2,2013-12-12
209,"Avery Durable Slant Ring Binders, No Labels",,Office Supplies,15.92,4,2013-12-12
210,"Advantus Push Pins, Aluminum Head",,Office Supplies,52.29,9,2013-08-16
211,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",,Office Supplies,91.99,1,2013-08-16
212,Memorex Micro Travel Drive 8 GB,,Technology,20.8,2,2013-05-21
213,Avery 505,,Office Supplies,23.68,2,2013-05-21
214,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,,Furniture,452.45,5,2014-07-31
215,Speck Products Candyshell Flip Case,,Technology,62.98,3,2014-07-31
216,Cisco 9971 IP Video Phone Charcoal,,Technology,1188,9,2013-04-02
217,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,,Technology,89.58,2,2013-04-02
218,"Personal Filing Tote with Lid, Black/Gray",,Office Supplies,93.06,6,2013-12-12
219,Adtran 1202752G1,,Technology,302.38,3,2013-12-12
220,OIC Bulk Pack Metal Binder Clips,,Office Supplies,5.58,2,2013-12-12
221,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",,Office Supplies,22.7,6,2012-03-28
222,Ibico Standard Transparent Covers,,Office Supplies,19.78,4,2012-03-28
223,"Executive Impressions 14"" Two-Color Numerals Wall Clock",,Furniture,72.7,4,2013-11-05
224,Swingline SM12-08 MicroCut Jam Free Shredder,,Technology,479.99,4,2012-04-09
225,Stanley Bostitch Contemporary Electric Pencil Sharpeners,,Office Supplies,27.17,2,2011-07-01
226,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",,Office Supplies,2.2,1,2011-06-02
227,Bevis 36 x 72 Conference Tables,,Furniture,622.45,5,2011-06-02
228,Rogers Deluxe File Chest,,Office Supplies,21.98,1,2013-02-13
229,Global Low Back Tilter Chair,,Furniture,161.57,2,2014-01-22
230,"Global Push Button Manager's Chair, Indigo",,Furniture,389.7,8,2014-01-22
231,GBC Instant Index System for Binding Systems,,Office Supplies,18.65,7,2014-01-22
232,Bush Advantage Collection Round Conference Table,,Furniture,233.86,2,2014-01-22
233,Bretford Rectangular Conference Table Tops,,Furniture,620.61,3,2014-01-22
234,GBC Instant Index System for Binding Systems,,Office Supplies,5.33,2,2014-01-22
235,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",,Furniture,258.07,3,2011-09-08
236,Logitech P710e Mobile Speakerphone,,Technology,617.98,3,2011-05-27
237,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),,Office Supplies,10.56,2,2011-05-27
238,Xerox 1957,,Office Supplies,25.92,5,2013-04-08
239,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,,Furniture,419.68,5,2012-12-07
240,Staple-based wall hangings,,Furniture,11.69,3,2012-08-31
241,PureGear Roll-On Screen Protector,,Technology,31.98,2,2012-08-21
242,KI Conference Tables,,Furniture,177.23,5,2012-08-21
243,Eldon 100 Class Desk Accessories,,Furniture,4.04,3,2012-08-21
244,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,Office Supplies,7.41,2,2012-08-21
245,Global Deluxe High-Back Manager's Chair,,Furniture,2001.86,7,2014-03-18
246,Safco Steel Mobile File Cart,,Office Supplies,166.72,2,2012-12-12
247,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",,Office Supplies,47.88,6,2011-09-20
248,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,,Office Supplies,1503.25,5,2011-09-20
249,Xerox 205,,Office Supplies,25.92,4,2012-11-27
250,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",,Furniture,321.57,2,2014-02-21
251,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",,Office Supplies,7.61,1,2014-02-21
252,Logitech P710e Mobile Speakerphone,,Technology,3347.37,13,2014-04-23
253,"Fellowes Personal Hanging Folder Files, Navy",,Office Supplies,80.58,6,2011-11-01
254,Tyvek Side-Opening Peel & Seel Expanding Envelopes,,Office Supplies,361.92,4,2011-11-01
255,Eldon 100 Class Desk Accessories,,Furniture,12.13,9,2011-10-13
256,"Belkin 19"" Vented Equipment Shelf, Black",,Office Supplies,82.37,2,2011-10-13
257,"Tenex Personal Project File with Scoop Front Design, Black",,Office Supplies,53.92,5,2011-10-13
258,Logitech Mobile Speakerphone P710e - speaker phone,,Technology,647.9,6,2011-10-13
259,Sabrent 4-Port USB 2.0 Hub,,Technology,20.37,3,2014-05-15
260,Safco Industrial Shelving,,Office Supplies,221.55,3,2014-05-15
261,Acco 3-Hole Punch,,Office Supplies,17.52,5,2011-05-09
262,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,,Office Supplies,1.62,2,2011-05-09
263,Lexmark MX611dhe Monochrome Laser Printer,,Technology,3059.98,3,2013-11-08
264,Xerox WorkCentre 6505DN Laser Multifunction Printer,,Technology,2519.96,7,2013-11-08
265,Cisco Small Business SPA 502G VoIP phone,,Technology,328.22,4,2013-11-08
266,Microsoft Sculpt Comfort Mouse,,Technology,79.9,2,2013-11-08
267,"Quartet Omega Colored Chalk, 12/Pack",,Office Supplies,14.02,3,2013-06-21
268,Bagged Rubber Bands,,Office Supplies,7.56,6,2013-06-21
269,Safco Commercial Shelving,,Office Supplies,37.21,1,2011-06-09
270,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",,Office Supplies,57.58,3,2011-06-09
271,Adjustable Depth Letter/Legal Cart,,Office Supplies,725.84,4,2014-12-24
272,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,,Technology,209.93,7,2012-04-25
273,Regeneration Desk Collection,,Furniture,5.28,3,2014-06-27
274,Presstex Flexible Ring Binders,,Office Supplies,10.92,3,2011-12-09
275,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",,Office Supplies,8.82,2,2013-11-11
276,Newell 330,,Office Supplies,5.98,1,2013-11-11
277,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",,Office Supplies,11.65,2,2013-04-09
278,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",,Office Supplies,18.18,4,2013-04-09
279,Eldon Simplefile Box Office,,Office Supplies,59.71,6,2013-04-09
280,Avery 489,,Office Supplies,24.84,3,2014-11-06
281,Round Ring Binders,,Office Supplies,2.08,5,2012-12-13
282,Bose SoundLink Bluetooth Speaker,,Technology,1114.4,7,2012-12-13
283,"Bevis Round Bullnose 29"" High Table Top",,Furniture,1038.84,5,2013-06-20
284,Easy-staple paper,,Office Supplies,141.76,5,2013-12-14
285,Microsoft Arc Touch Mouse,,Technology,239.8,5,2013-12-14
286,Xerox 216,,Office Supplies,31.1,6,2012-05-29
287,GBC VeloBinder Electric Binding Machine,,Office Supplies,254.06,7,2012-05-29
288,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,Office Supplies,194.53,2,2012-05-29
289,Premier Automatic Letter Opener,,Office Supplies,961.48,5,2012-07-26
290,Advantus SlideClip Paper Clips,,Office Supplies,19.1,7,2014-05-16
291,Avery 512,,Office Supplies,18.5,8,2014-05-16
292,Logitech Wireless Gaming Headset G930,,Technology,255.98,2,2014-05-16
293,"Bush Westfield Collection Bookcases, Medium Cherry Finish",,Furniture,86.97,3,2012-09-22
294,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",,Furniture,300.42,8,2014-11-15
295,Global Deluxe Office Fabric Chairs,,Furniture,230.35,3,2013-09-02
296,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,,Furniture,218.35,3,2014-07-10
297,Ibico Laser Imprintable Binding System Covers,,Office Supplies,78.6,5,2011-11-11
298,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",,Office Supplies,27.55,3,2011-11-11
299,Xerox 223,,Office Supplies,32.4,5,2011-11-11
300,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",,Office Supplies,1082.48,8,2013-08-27
301,Xerox 1939,,Office Supplies,56.91,3,2013-08-27
302,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",,Furniture,77.6,4,2013-11-14
303,Avery Premier Heavy-Duty Binder with Round Locking Rings,,Office Supplies,14.28,1,2012-08-27
304,BPI Conference Tables,,Furniture,219.08,3,2012-11-06
305,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,,Furniture,26.8,2,2012-11-06
306,Newell 350,,Office Supplies,9.84,3,2011-11-24
307,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",,Office Supplies,45.48,3,2014-06-18
308,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,,Office Supplies,289.2,6,2014-06-18
309,Faber Castell Col-Erase Pencils,,Office Supplies,4.89,1,2012-12-21
310,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,,Furniture,15.14,4,2012-12-21
311,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,,Furniture,466.77,2,2012-09-17
312,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",,Furniture,15.23,1,2014-12-18
313,Avery 509,,Office Supplies,6.26,3,2012-06-13
